Name,Code,Symbol,Flag Link,Currency
Albania,ALL,Lek,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/albania.png,Lek
Afghanistan,AFN,؋,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/afghanistan.png,Afghani
Argentina,ARS,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/argentina.png,Peso
Aruba,AWG,ƒ,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/aruba.png,Guilder
Australia,AUD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/australia.png,Dollar
Azerbaijan,AZN,₼,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/azerbaijan.png,Manat
Bahamas,BSD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/bahamas.png,Dollar
Barbados,BBD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/barbados.png,Dollar
Belarus,BYR,p.,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/belarus.png,Ruble
Belize,BZD,BZ$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/belize.png,Dollar
Bermuda,BMD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/bermuda.png,Dollar
Bolivia,BOB,$b,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/bolivia.png,Boliviano
Bosnia and Herzegovina,BAM,KM,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/Bosnia_and_Herzegovina.png,Convertible Marka
Botswana,BWP,P,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/botswana.png,Pula
Bulgaria,BGN,лв,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/bulgaria.png,Lev
Brazil,BRL,R$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/brazil.png,Real
Brunei,BND,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/brunei.png,Darussalam Dollar
Cambodia,KHR,៛,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/cambodia.png,Riel
Canada,CAD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/canada.png,Dollar
Cayman,KYD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/Cayman_Islands.png,Dollar
Chile,CLP,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/chile.png,Peso
China,CNY,¥,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/china.png,Yuan Renminbi
Colombia,COP,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/colombia.png,Peso
Costa Rica,CRC,₡,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/costarica.png,Colon
Croatia,HRK,kn,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/croatia.png,Kuna
Cuba,CUP,₱,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/cuba.png,Peso
Czech Republic,CZK,Kč,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/czechrepublic.png,Koruna
Denmark,DKK,kr,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/denmark.png,Krone
Dominican Republic,DOP,RD$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/dominicanrepublic.png,Peso
Egypt,EGP,£,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/egypt.png,Pound
El Salvador,SVC,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/elsalvador.png,Colon
Estonia,EEK,kr,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/estonia.png,Kroon
Euro Member,EUR,€,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/euro.png,Euro
Falkland Islands,FKP,£,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/falklandislands.png,Pound
Fiji,FJD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/fiji.png,Dollar
Georgia,GEL,₾,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/georgia.png,Lari
Ghana,GHC,¢,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/ghana.png,Cedis
Gibraltar,GIP,£,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/gibraltar.png,Pound
Guatemala,GTQ,Q,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/guatemala.png,Quetzal
Guernsey,GGP,£,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/guernsey.png,Pound
Guyana,GYD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/guyana.png,Dollar
